,Date,Hour,Demand
584,2021-01-25,7,10965
585,2021-01-25,8,10993
586,2021-01-25,9,11026
587,2021-01-25,10,11088
588,2021-01-25,11,11179
589,2021-01-25,12,11131
590,2021-01-25,13,11060
591,2021-01-25,14,11054
592,2021-01-25,15,11024
593,2021-01-25,16,11156
594,2021-01-25,17,11401
595,2021-01-25,18,11177
596,2021-01-25,19,10986
597,2021-01-25,20,10914
598,2021-01-25,21,10873
599,2021-01-25,22,10601
600,2021-01-25,23,10349
601,2021-01-26,0,10211
602,2021-01-26,1,10144
603,2021-01-26,2,10076
604,2021-01-26,3,10058
605,2021-01-26,4,10082
606,2021-01-26,5,10170
607,2021-01-26,6,10499
608,2021-01-26,7,10971
609,2021-01-26,8,11227
610,2021-01-26,9,11269
611,2021-01-26,10,11292
612,2021-01-26,11,11317
613,2021-01-26,12,11283
614,2021-01-26,13,11238
615,2021-01-26,14,11134
616,2021-01-26,15,11103
617,2021-01-26,16,11125
618,2021-01-26,17,11319
619,2021-01-26,18,11179
620,2021-01-26,19,10973
621,2021-01-26,20,10941
622,2021-01-26,21,10783
623,2021-01-26,22,10503
624,2021-01-26,23,10266
625,2021-01-27,0,10157
626,2021-01-27,1,10061
627,2021-01-27,2,9988
628,2021-01-27,3,9977
629,2021-01-27,4,9996
630,2021-01-27,5,10149
631,2021-01-27,6,10478
632,2021-01-27,7,10913
633,2021-01-27,8,11144
634,2021-01-27,9,11180
635,2021-01-27,10,11239
636,2021-01-27,11,11205
637,2021-01-27,12,11127
638,2021-01-27,13,11024
639,2021-01-27,14,10995
640,2021-01-27,15,10945
641,2021-01-27,16,11033
642,2021-01-27,17,11291
643,2021-01-27,18,11180
644,2021-01-27,19,10997
645,2021-01-27,20,10956
646,2021-01-27,21,10808
647,2021-01-27,22,10597
648,2021-01-27,23,10377
649,2021-01-28,0,10219
650,2021-01-28,1,10126
651,2021-01-28,2,10091
652,2021-01-28,3,10067
653,2021-01-28,4,10125
654,2021-01-28,5,10253
655,2021-01-28,6,10488
656,2021-01-28,7,10835
657,2021-01-28,8,10955
658,2021-01-28,9,10945
659,2021-01-28,10,10940
660,2021-01-28,11,11053
661,2021-01-28,12,10934
662,2021-01-28,13,10927
663,2021-01-28,14,10947
664,2021-01-28,15,10973
665,2021-01-28,16,11170
666,2021-01-28,17,11309
667,2021-01-28,18,11226
668,2021-01-28,19,11084
669,2021-01-28,20,10942
670,2021-01-28,21,10745
671,2021-01-28,22,10505
672,2021-01-28,23,10281
673,2021-01-29,0,10115
674,2021-01-29,1,10102
675,2021-01-29,2,10092
676,2021-01-29,3,10097
677,2021-01-29,4,10065
678,2021-01-29,5,10185
679,2021-01-29,6,10360
680,2021-01-29,7,10684
681,2021-01-29,8,10809
682,2021-01-29,9,10841
683,2021-01-29,10,10830
684,2021-01-29,11,10805
685,2021-01-29,12,10715
686,2021-01-29,13,10660
687,2021-01-29,14,10664
688,2021-01-29,15,10732
689,2021-01-29,16,10846
690,2021-01-29,17,11167
691,2021-01-29,18,11170
692,2021-01-29,19,11091
693,2021-01-29,20,10940
694,2021-01-29,21,10736
695,2021-01-29,22,10497
696,2021-01-29,23,10304
697,2021-01-30,0,10125
698,2021-01-30,1,10073
699,2021-01-30,2,10032
700,2021-01-30,3,10059
701,2021-01-30,4,10067
702,2021-01-30,5,10112
703,2021-01-30,6,10184
704,2021-01-30,7,10380
705,2021-01-30,8,10459
706,2021-01-30,9,10627
707,2021-01-30,10,10684
708,2021-01-30,11,10733
709,2021-01-30,12,10679
710,2021-01-30,13,10595
711,2021-01-30,14,10508
712,2021-01-30,15,10502
713,2021-01-30,16,10636
714,2021-01-30,17,11042
715,2021-01-30,18,11075
716,2021-01-30,19,10916
717,2021-01-30,20,10783
718,2021-01-30,21,10659
719,2021-01-30,22,10450
720,2021-01-30,23,10223
721,2021-01-31,0,10007
722,2021-01-31,1,9898
723,2021-01-31,2,9854
724,2021-01-31,3,9865
725,2021-01-31,4,9874
726,2021-01-31,5,9920
727,2021-01-31,6,10002
728,2021-01-31,7,10210
729,2021-01-31,8,10381
730,2021-01-31,9,10548
731,2021-01-31,10,10644
732,2021-01-31,11,10624
733,2021-01-31,12,10607
734,2021-01-31,13,10528
735,2021-01-31,14,10517
736,2021-01-31,15,10581
737,2021-01-31,16,10735
738,2021-01-31,17,11068
739,2021-01-31,18,11086
740,2021-01-31,19,10933
741,2021-01-31,20,10769
742,2021-01-31,21,10564
743,2021-01-31,22,10267
744,2021-01-31,23,10016
745,2021-02-01,0,9848
746,2021-02-01,1,9763
747,2021-02-01,2,9764
748,2021-02-01,3,9666
749,2021-02-01,4,9730
750,2021-02-01,5,9894
751,2021-02-01,6,10238
752,2021-02-01,7,10698
753,2021-02-01,8,10903
754,2021-02-01,9,10907
755,2021-02-01,10,10913
756,2021-02-01,11,10896
757,2021-02-01,12,10842
758,2021-02-01,13,10839
759,2021-02-01,14,10816
760,2021-02-01,15,10817
761,2021-02-01,16,10948
762,2021-02-01,17,11164
763,2021-02-01,18,11117
764,2021-02-01,19,10939
